Municipality,Bylaw Name Development Charges,Farm Exemption for Development Charges,Wording of exemption,Date Bylaw Enacted (Regional),Expiry Date,Link to DC Bylaw,Bylaw Name Stormwater,Farm Exemption for Stormwater Charges,How Stormwater Fees are Calculated,Date Bylaw Enacted2 (Regional),Expiry date2,Link to Storm Water bylaw,Bylaw Name Sute Alteration,Farm Exemption for SA,Exception Wording,Date Bylaw Enacted4 (Regional),Expiry date 4,Link to site alteration & fill bylaw,Bylaw Name LGD,Has Livestock Guardian dog Definition,LDG - Definition,Herding Dog Definition Exists,Herding Dog - Definition,LDG and HD exempt from license fees,LDG and HD Collar and tag requirements,Municipal barking restrictions,LDG and HD Exempt from barking restrictions,Dog Limit,Date Bylaw Enacted 5 (Regional),Expiry Date 5,Livestock Guardian Dog bylaw link,Bylaw Name Backyard Chicken,Can you Keep Backyard Chickens,Backyard Chicken Limit,Date Bylaw Enacted 7 (Regional),Expiry Date 7,Roosters Allowed,Licence Required,Welfare Requirements,Backyard Chicken Bylaw Link,Bylaw Name Forest Conservation,Farm Exemption - Tree Cutting Bylaw,Farming Exception Wording,Date Bylaw Enacted 6 (Regional),Expiry Date 6,Tree Cutting Bylaw Link,Municipality Has Fence Bylaw,Does the fence bylaw apply to all lands,Does the fence bylaw replace the Line Fence Act in its entirely,Farm Exemption for Security fencing prohibitions,Farm Exemption for Electrified fencing prohibitions,Equal apportionment of fencing costs between neighbours,Link to Fence Bylaw
"Augusta, Tp",,,,,,,,,,,,,,,,,,,BY-LAW NUMBER 3745-2024,Yes,“Farm Work Dog” shall mean a dog that is trained and engaged in herding or acting as guardians of livestock on a farm.,No,,No,Yes,Yes,Yes,none,2024-11-25,,https://augusta.ca/wp-content/uploads/3745-2024-Canine-Control-By-Law.pdf,BY-LAW NUMBER 3576-2022,Yes,Up to 0.5ac 5Over 0.5ac 10,2022-09-26,,No,No,NOT KNOWN,https://augusta.ca/wp-content/uploads/3576-2022_Backyard-Fowl-By-Law-2.pdf,BY-LAW NUMBER 2767-2009,No,,2009-05-25,,https://augusta.ca/bylaws/2767-2009-topsoil-removal-by-law/,YES,YES,NO,,,NO,https://augusta.ca/wp-content/uploads/3407-2019-Line-Fences-By-Law.pdf
"Aurora, Tp",By-law Number 6592-24,Yes,"Exemptions: (g) agricultural uses  where: ""agricultural use"" means land, buildings or structures, excluding any portion thereof used as a dwelling unit, used or designed or intended for use for the purpose of a bona fide farming operation, including, but not limited to animal husbandry, dairying, livestock, fallow, field crops, removal of sod, forestry, fruit farming, horticulture, market gardening, pasturage, poultry keeping, equestrian facilities and any other activities customarily carried on in the field of agriculture, except the commercial storage, milling or processing of grains, seeds, livestock and products of other farming operations for the purposes of wholesaling such goods",2024-03-26,2034-03-26,https://www.aurora.ca/en/business-and-development/resources/Development-charges/2024/6592-24-Development-Charges-By-law.pdf,Aurora Stormwater Rates,NOT KNOWN,"Residential: $14.93 per unit monthly or $44.79 per unit quarterly  Commercial, industrial, multi-residential properties: $189.75 per meter monthly or $379.50 per meter bi-monthly",,,https://www.aurora.ca/en/town-services/resources/Water-and-Sewer/2024/2024_WaterBilling_Insert_FINAL-002.pdf,By-law Number 6226-19,Yes,,2019-12-10,,https://records.aurora.ca/WebLink/edoc/17807/BYLAW%20-%20Site%20Alteration%20Bylaw%20-%2020191210%20-%20622619.pdf?dbid=0&amp;repo=Public,By-law Number 6197-19,No,,No,,No,Yes,Yes,No,NOT KNOWN,2019-07-23,,https://records.aurora.ca/WebLink/DocView.aspx?id=17725&amp;dbid=0&amp;repo=Public&amp;cr=1,,,,,,,,,,By-law Number 5850-16,No,,2016-05-24,,https://records.aurora.ca/WebLink/edoc/1667/BYLAW%20-%20Private%20Tree%20Protection%20By%20law%20-%2020160524%20-%20585016.pdf?dbid=0&amp;repo=Public,YES,YES,NO,NO,YES,NO,https://www.aurora.ca/media/lwwmqdr5/6429-22-fence-pool-enclosure-by-law-unsigned.pdf
"Addington Highlands, Tp",,,,,,,,,,,,,,,,,,,BY-LAW NO. 0143/2004,No,,No,,No,Yes,Yes,No,,2004-02-16,,https://addingtonhighlands.ca/residents/by-laws/dog-cat/,,,,,,,,,,By-law No. 0599/2019,No,,2019-12-19,,https://addingtonhighlands.civicweb.net/filepro/documents/search/?keywords=tree&amp;location=108&amp;preview=55619,YES,YES,YES,YES,YES,NO,https://addingtonhighlands.ca/residents/by-laws/fence/
"Adelaide-Metcalfe, Tp",By-Law 57-2022Development Charges,Yes,"SECTION 3.8 Other Exemptions: (a) Notwithstanding the provision of this by-law, development charges shall not be imposed with respect to : (ii) non-residential farm buildings; (iii) and a temporary building or structure.",2023-01-01,2028-01-01,https://www.adelaidemetcalfe.on.ca/sites/default/files/2022-11/2022-57%20Development%20Charges.pdf,,,,,,,BY-LAW NO 24-2016,No,,2016-12-14,,https://tarbutt.ca/wp-content/uploads/2023/11/24-2016-Topsoil-Removal.pdf,BY-LAW 2023-44Animal Control,Yes,,No,,No,Yes,No,Yes,6,2023-07-17,,https://www.adelaidemetcalfe.on.ca/sites/default/files/2023-09/2023-44%20Animal%20Control%20Bylaw.pdfhttps://www.adelaidemetcalfe.on.ca/sites/default/files/2023-09/2023-44 Animal Control Bylaw.pdf,By-Law No. 44 of 2023,Yes,,2023-07-17,,,,2;3;4,https://www.adelaidemetcalfe.on.ca/sites/default/files/2023-09/2023-44%20Animal%20Control%20Bylaw.pdf,,,,,,,NO,,,,,,
"Adjala-Tosorontio, Tp",By-Law Number 21-84,Yes,3.10 (b) The development of non-residential farm buildings constructed for bona-fide farm uses except for any building constructed to accommodate an On-Farm business which shall be considered an industrial building.,2021-10-12,2026-10-12,https://www.adjtos.ca/en/our-government/resources/Documents/By-laws/By-Law-21-84-Imposition-of-Development-Charges.pdf,,,,,,,,,,,,,By-law 11-25,Yes,"a dog that is specifically recognized and used to work and/or live with domestic farm animals, without causing them harm while aggressively repelling predators and is used exclusively for that purpose.",No,,Yes,Yes,Yes,Yes,NOT KNOWN,2019-07-10,,https://www.adjtos.ca/en/our-government/resources/Documents/By-laws/By-law-11-25---Canine-Control-By-law-Consolidated.pdf,,,,,,,,,,,,,,,,YES,YES,NO,NO,NO,,https://www.adjtos.ca/en/our-government/resources/Documents/By-laws/05-40.pdf
"Admaston/Bromley, Tp",,,,,,,,,,,,,,,,,,,By-Law No. 2014-32,No,,No,,No,Yes,No,,none,2014-09-04,,https://admastonbromley.com/wp-content/uploads/2023/02/2014-32-By-Law-Animal-Control.pdf,BY-LAW NO. 2023-61,Yes,under 0.6 acres: 40.6-1.2 acres: 61.2-2.4 acres: 82.4-4.9 acres: 10over 4.9: 12,2024-01-01,,No,Yes,2;3;4;5,https://admastonbromley.com/wp-content/uploads/2024/01/2023-61-Backyard-Chickens.pdf,BY-LAW NO. 2019-17,No,,2019-03-07,,https://admastonbromley.com/wp-content/uploads/2019/05/2019-17-Tree-Canopy-Policy.pdf,YES,YES,NO,YES,YES,,https://admastonbromley.com/wp-content/uploads/2024/07/By-Law-2006-31.pdf
"Ajax, Tp",BY-LAW NUMBER 13 – 2025,Yes,"This by-law shall not apply to land, or any part thereof, that is: used for the purposes of the development of a farm building used for bona fide agricultural operations",2025-02-01,,https://www.ajax.ca/en/inside-townhall/resources/Finance/By-law-13-2025-2024-Development-Charges-Background-Study-and-By-law.pdf,BY-LAW 16-2023,No,Non-Residential Annual Stormwater Fee per 192m2 impervious area: $49.60,2023-04-17,,https://imo.ajax.ca/36343/widgets/149950/documents/103531,38-2021,,"This By-law shall not apply to: (f) The removal of topsoil as an incidental part of normal agricultural practices, but not including the removal of topsoil for sale, exchange or other disposition.",2021-06-01,,"https://www.ajax.ca/Modules/bylaws/Bylaw/Download/f6898631-32b9-4ad8-803f-a43a1c61b734:~:text=BY,or%20dumping%20of%20fill%2C%20the",BY-LAW NUMBER 48-2017,No,,No,,No,Yes,Yes,No,NOT KNOWN,2017-06-26,,https://www.ajax.ca/Modules/Bylaws/Bylaw/Download/1d18be84-8f82-4259-91a1-f8ea30eb8751,BY-LAW NUMBER 56-2021,No,,2021-09-21,,,,,https://www.ajax.ca/Modules/Bylaws/Bylaw/Download/5418a33f-f0ed-484f-a6c4-2aed9f891604,BY-LAW NUMBER 137-2006,Yes,"5.1 In addition to the exemptions set out in Section 135(12) of the Act, this by-law shall not apply to; (d) The injury or destruction of up to 5 trees each calendar year by a farmer where the injury or destruction of a tree occurs as an integral component of an active farm operation;  7. ISSUANCE OF A PERMIT 7.1 The Director shall review all completed applications and may issue a Permit in the following circumstances: (e) Activities undertaken by a farmer where the destruction of a tree occurs as an integral component of an active farm operation; or,",2006-10-10,,https://www.ajax.ca/Modules/Bylaws/Bylaw/Download/7b15547e-5e9a-4953-af97-63e65b2b215d,YES,NO,YES,YES,YES,YES,"https://canadacommons.ca/artifacts/3504209/the-corporation-of-the-town-of-ajax/4304980/:~:text=By%2Dlaw%2037%2D2017%20of,work%20and%20the%20adjoining%20owner."
"Alberton, Tp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO,,,,,,
"Alfred and Plantagenet, Tp",BY-LAW 2023-46,No,,2023-07-23,2033-07-23,https://www.alfred-plantagenet.com/en/township-hall/by-laws.aspxDevelopment-Charges,,,,,,,,,,,,,BY-LAW 2023-05,No,,No,,No,Yes,Yes,No,NOT KNOWN,2023-01-17,,https://www.alfred-plantagenet.com/en/township-hall/by-laws.aspxAnimal-Control-and-Dog-Licensing-Fees,By-law 2013-53,Yes,,,,No,Yes,2;3;4,https://www.alfred-plantagenet.com/en/township-hall/resources/Documents/Hen-Coop-Permit-App.pdf,,,,,,,NO,,,,,,
"Algonquin Highlands, Tp",,,,,,,,,,,,,,,,,,,By-Law 2024-18,No,,No,,No,Yes,No,,none,,,https://www.algonquinhighlands.ca/media/rwcbct1y/2024-18-dog-control-by-law-acc.pdf,,,,,,,,,,,,,,,,NO,,,,,,
