Municipality,Keyword Found,Snippet Context,Bylaw Link
Arnprior,cattle,"listed in schedule ""b"" to this by-law; and, b. any domestic fowl, pigeons, horses, donkeys, mules, cattle, goats, swine or sheep except on land zones rural, agricultural, or hazard by any by-law of t...",https://www.arnprior.ca/en/town-hall/resources/Documents/By-Laws/Animal-control-By-law-(Accessible-ms).pdf 
Aylmer,cattle,"sold and which may offer provisions for minor medical treatment. (i) “livestock” means and includes cattle, swine, sheep and goats. (j) “municipal law enforcement officer” means a person appointed by...",https://aylmer.ca/wp-content/uploads/2021/01/By-Law09-06-Animals.pdf 
Brockville,cattle,"ng strayed pigeons that are causing annoyance to the owner or occupant or damages to such premises. cattle, goats, mink, fox, sheep and other animals 7. (a) no person shall keep cattle, goats, swine,...",https://brockville.com/wp-content/uploads/2023/03/Animal_Control_bylaw_007-1982_-1.pdf 
Barrie,cattle,"ty which is zoned agricultural, residential hold or industrial. 18.5.0.0.0 no person shall keep any cattle, goats, sheep or swine within the limits of the city except on a lot exceeding 4.4685 hectare...",https://www.barrie.ca/media/3941 
Brantford,cattle,"s); (g) all ursides (bears); f. all artiodactylus ungulates, except domestic goats, sheep, pigs and cattle; g. all procyonids (such as raccoons, coatis and cacomistles); h. all hyenas; i. all pinniped...",https://www.brantford.ca/Modules/Bylaws/Bylaw/Download/03bf4867-02bb-4f61-8499-4be0634bacca 
Callander,cattle,"the-rocks provided same are housed in and kept in an escape proof enclosure. horses, domestic fowl, cattle, goats, swine, mink, sheep, and mules 15.15 despite section 15.1, any person may keep horses,...",https://callander.civicweb.net/filepro/document/121661/Animal%20Control%20Bylaw%20-%20By-law%202022-1734.pdf 
Caledon,cattle,"ltural or rural zone that is actively used for agricultural or equestrian purposes, animals such as cattle, horses, ponies, mules, donkeys, goats, swine, sheep, mink, chickens, ducks, turkeys, fox, nu...",https://www.caledon.ca/uploads/14/Doc_637203090570046185.pdf?ts=638422935375591806 
Cochrane,sheep,"vestock” includes, but is not limited to: (i) horse, mule, ass, swine, emu, ostrich, llama, alpaca, sheep, or goat; (ii) domestically reared or kept deer, reindeer, moose, elk, or bison; (iii) farm-br...",https://www.cochrane.ca/media/356
Chatham-Kent,cattle,"this by-law; “litters of animals” means the offspring of one birth of an animal; “livestock” means cattle, goats, horses, sheep, swine, poultry, fur-bearing animals, bees, cultured fish, deer, elk, g...",https://www.chatham-kent.ca/localgovernment/bylaws/Documents/170-2021.pdf
Chapleau,cattle,"15 days after acquiring ownership of the dog. 2.3 no person shall keep any domestic fowl, pigeons, cattle, goats, swine, horses, rabbits, mink, foxes, or other animals (excluding dogs, cats, and rabb...",https://chapleau.ca/documents/assets/uploads/files/en/by-law_2022-08_-_regulation_and_control_of_animals_signed.pdf
Englehart,cattle,"eping – to remove section formerly known as #29 pertaining to the keeping of horses, domestic fowl, cattle, goats, sine, mink, sheep & mules. 8. schedule “a” – fees – to update the following fees: imp...",https://englehart.municipalwebsites.ca/ckfinder/connector?command=Proxy&lang=en&type=Files&currentFolder=%2F&hash=c245c263ce0eced480effe66bbede6b4d46c15ae&fileName=By-Law%202022-03%20-%20Animal%20Control(1).pdf
Fort Erie,cattle,"aced. (gg) ""livestock” means any domestic or farmed animal, including, but not limited to, poultry, cattle, swine, horses, mink or other furbearing animals, rabbits, sheep, goats and other types of an...",https://www2.forterie.ca/bylaws/2021-073/$FILE/73-2021%20Animal%20By-law.pdf
French River,cattle,"ence issued under this by-law. responsible animal ownership by-law 2022-13 2 2.18 “livestock” means cattle, goats, horses, sheep, swine, poultry, fur-bearing animals, bees, cultured fish, deer, elk, g...",https://www.frenchriver.ca/Home/DownloadDocument?docId=6903aa4e-24c2-4121-9a33-b893605753c8
