Municipality,Municipal Status,County / Region,Has DC Bylaw,DC Bylaw Name,DC Bylaw Link,Date Enacted,Expiry Date,Expiry Notes,Agricultural Building Exemption,Exemption Wording (Operative Text),Municipality Website
Adelaide-Metcalfe,Lower Tier,Middlesex,Yes,By-Law 57-2022 Development Charges,https://www.adelaidemetcalfe.on.ca/sites/default/files/2022-11/2022-57%20Development%20Charges.pdf,2023-01-01,2028-01-01,UNLESS REPEALED,Yes,"SECTION 3.8 Other Exemptions: (a) Notwithstanding the provision of this by-law, development charges shall not be imposed with respect to : (ii) non-residential farm buildings; (iii) and a temporary building or structure.",http://www.adelaidemetcalfe.on.ca/siteengine/acti
Adjala-Tosorontio,Lower Tier,Simcoe,Yes,By-law 2026-027,https://adjtos.ca/wp-content/uploads/2026/03/HEMSON_DC-Study-for-Adjala-Tosorontio_24March2026_Version-for-Public-Consultation.pdf,2026-05-01,2036-05-01,,Yes,3.10 (b) The development of non-residential farm buildings constructed for bona-fide farm uses except for any building constructed to accommodate an On-Farm business which shall be considered an industrial building.,https://www.adjtos.ca/en/index.aspx
Admaston-Bromley,Lower Tier,Renfrew,No,,—,,,,No DC Bylaw,,http://www.admastonbromley.com/
Ajax,Lower Tier,Durham,Yes,BY-LAW NUMBER 13 - 2025,https://www.ajax.ca/en/inside-townhall/resources/Finance/By-law-13-2025-2024-Development-Charges-Background-Study-and-By-law.pdf,2025-02-01,,UNTIL REPEALED,Yes,"This by-law shall not apply to land, or any part thereof, that is: used for the purposes of the development of a farm building used for bona fide agricultural operations",http://www.ajax.ca/en/
Alberton,Single Tier,Rainy River,No,,—,,,,Not Known,,http://www.alberton.ca/
Alfred and Plantagenet,Lower Tier,Prescott and Russell,Yes,BY-LAW 2023-46,https://www.alfred-plantagenet.com/en/media/file/2023-46-finances-establish-development-charges-1pdf,2023-07-23,2033-07-23,,No,,http://www.alfred-plantagenet.com/en
Algonquin Highlands,Lower Tier,Haliburton,No,,—,,,,No DC Bylaw,,http://www.algonquinhighlands.ca/
Alnwick-Haldimand,Lower Tier,Northumberland,Yes,By-law No. 47-2023,https://ahtwp.squarespace.com/s/BL-47-2023-Development-Charges.pdf,2023-05-02,,,No,"Notwithstanding clause 2 a) above, this by-law does not apply to the development of land that is owned by and used for the purpose of: vi) land, buildings, or structures for agricultural use which do not receive municipal sanitary sewer or water supply services",http://www.alnwickhaldimand.ca/
Amaranth,Lower Tier,Dufferin,Yes,By-law 40-2024,https://www.amaranth.ca/media/hp0drppq/by-law-40-2024-development-charges.pdf,2024-08-08,2034-08-08,10-year term. Annual adjustments Jan 1.,Yes,Non-residential farm buildings for bona fide farm uses exempt. Must have Farm Business Registration Number from OMAFRA and Farmland Realty Tax Class.,http://www.amaranth.ca/en/index.aspx
Amherstburg,Lower Tier,Essex,Yes,BY-LAW NO. 2024-085,https://www.amherstburg.ca/media/musgegdl/2024-085-development-charge-by-law-with-schedules-rm.pdf,2025-01-01,2034-12-31,,Yes,"The development of non-residential farm buildings constructed for bonafide farm uses, excluding cannabis production facilities and commercial greenhouses",http://www.amherstburg.ca/
Armour,Single Tier,Parry Sound,No,,—,,,,No DC Bylaw,,http://www.armourtownship.ca/
Armstrong,Single Tier,Timiskaming,No,,—,,,,No DC Bylaw,,http://www.armstrongtownship.com/
Arnprior,Lower Tier,Renfrew,Yes,By-law No. 7369-23,https://www.arnprior.ca/media/pkslfix0/by-law-7369-23-adopt-development-charges-by-law.pdf,2023-03-13,2032-03-13,,No,,http://www.arnprior.ca/
Arran-Elderslie,Lower Tier,Bruce,No,,—,,,,No DC Bylaw,,http://www.arran-elderslie.com/
Ashfield-Colborne-Wawanosh,Lower Tier,Huron,Yes,BY-LAW NUMBER 68-2022,https://acwtownship.ca/government/by-laws/building-and-property/68-2022-development-charges,2022-11-20,2027-11-20,"EXPIRES 2027, UNLESS IS AMMENDED",Yes,"Other Exceptions The development of non-residential farm buildings constructed for bona fide farm uses, being that which operates with a valid Farm Business Registration Number and is assessed in the Farmland Realty Tax Class.",http://www.acwtownship.ca/
Asphodel-Norwood,Lower Tier,Peterborough,Yes,BY-LAW NUMBER 2023-64,https://www.antownship.ca/township-services/planning-department/,2024-01-01,,,Yes,Other Exemptions (c) Non-residential farm buildings;,http://www.asphodelnorwood.com/
Assiginack,Single Tier,Manitoulin,No,,—,,,,No DC Bylaw,,http://www.assiginack.ca/
Athens,Lower Tier,Leeds and Grenville,No,,—,,,,No DC Bylaw,,http://www.athenstownship.ca/
Atikokan,Single Tier,Rainy River,No,,—,,,,No DC Bylaw,,http://www.atikokan.ca/siteengine/activepage.asp
Augusta,Lower Tier,Leeds and Grenville,No,,—,,,,No DC Bylaw,,http://www.augusta.ca/
Aurora,Lower Tier,York,Yes,By-law Number 6592-24,https://www.aurora.ca/media/yqzh2xle/6592-24-development-charges-by-law.pdf,2024-03-26,2034-03-26,Or until repealed.,Yes,"Exemptions: (g) agricultural uses where: ""agricultural use"" means land, buildings or structures, excluding any portion thereof used as a dwelling unit, used or designed or intended for use for the purpose of a bona fide farming operation, including, but not limited to animal husbandry, dairying, livestock, fallow, field crops, removal of sod, forestry, fruit farming, horticulture, market gardening, pasturage, poultry keeping, equestrian facilities and any other activities customarily carried on in the field of agriculture, except the commercial storage, milling or processing of grains, seeds, livestock and products of other farming operations for the purposes of wholesaling such goods",https://www.aurora.ca/en/index.aspx
Aylmer,Lower Tier,Elgin,Yes,By-Law 78-21,https://aylmer.ca/wp-content/uploads/2021/12/By-Law-78-21-Being-a-By-Law-to-Establish-Development-Charges.pdf,2021-12-31,2026-12-31,,No,,http://www.aylmer.ca/
Baldwin,Single Tier,Sudbury,No,,—,,,,No DC Bylaw,,https://www.baldwin.ca/
Bancroft,Lower Tier,Hastings,No,,—,,,,No DC Bylaw,,http://www.bancroft.ca/
Barrie,Single Tier,Simcoe,Yes,By-law 2023-074,https://www.barrie.ca/government/policies-laws/laws-listing/development-charges-law,2023-06-21,2033-06-21,,No,,http://www.barrie.ca/Pages/default.aspx
Bayham,Lower Tier,Elgin,Yes,By-law No. 2025-051,https://www.bayham.on.ca/media/tppogucc/051-bayham-dc-by-law.pdf,2025-01-01,2035-01-01,,Yes,"""Notwithstanding any other provision of this by-law, development charges shall not be imposed with respect to: (i) Non-residential uses""",http://www.bayham.on.ca/siteengine/activepage.asp
Beckwith,Lower Tier,Lanark,Yes,BY-LAW NUMBER 2024-31,https://beckwith.ca/services/building-by-law/,2024-04-05,,"This By-law shall continue in force and effect for a term not exceeding five years from the date of passing, unless repealed at an earlier date.",Yes,"Notwithstanding the provision of this by-law, development charges shall not be imposed with respect to: a) Place of Worship; and b) Agricultural use for bona fide farming purposes.",http://www.twp.beckwith.on.ca/
Belleville,Single Tier,Hastings,Yes,By-Law Number 2021-201,https://www.belleville.ca/en/city-hall/resources/Documents/Finance-Documents/BL-2021-201.pdf,2021-12-13,2026-12-13,This By-law will expire five years after the day it comes into force unless it is repealed at an earlier date.,Yes,4. (1) h) a non-residential farm building,http://www.belleville.ca/
Billings,Single Tier,Manitoulin,No,,—,,,,No DC Bylaw,,http://www.billingstwp.ca/
Black River-Matheson,Single Tier,Cochrane,No,,—,,,,No DC Bylaw,,http://www.blackriver-matheson.com/
Blandford-Blenheim,Lower Tier,Oxford,Yes,By-law 2436-2024,https://www.blandfordblenheim.ca/media/xp3heli5/building-pamplet.pdf,2025-06-05,,EXPIRES WHEN REPEALED,Yes,See SECTION 3 - APPLICABLE LANDS (3) a) (3) This by-law shall not apply to: (a) Farm Buildings as defined herein; (b) Non-Residential Buildings as defined herein;,http://www.blandfordblenheim.ca/
Blind River,Single Tier,Algoma,No,,—,,,,No DC Bylaw,,http://www.blindriver.com/site/welcome/
Bluewater,Lower Tier,Huron,Yes,By-law 86-2022,https://www.municipalityofbluewater.ca/media/zuchw2wd/20220811-cs-bl-86-2022-development-charges-by-law.pdf,2022-08-11,2027-08-19,"2027, UNLESS REPEALED",Yes,"the development of non-residential farm buildings constructed for bona fide farm uses, being that which operates with a valid Farm Business Registration Number and is assessed in the Farmland Realty Tax Class.",http://www.town.bluewater.on.ca/
Bonfield,Single Tier,Nipissing,No,,—,,,,No DC Bylaw,,https://www.bonfieldtownship.com/
Bonnechere Valley,Lower Tier,Renfrew,No,,—,,,,No DC Bylaw,,http://www.bonnecherevalleytwp.com/
Bracebridge,Lower Tier,Muskoka,Yes,BY-LAW NO. 2024-034,https://www.bracebridge.ca/town-services/building-services/building-permits/development-charges/,2024-06-12,2034-06-12,"Unless repealed earlier, or unless the term of the By-law is altered by legislation, this Bylaw expires ten (10) years from the day it comes into force",Yes,9.3. Non-residential farm buildings constructed for bona fide farm uses.,http://www.bracebridge.ca/
Bradford West Gwillimbury,Lower Tier,Simcoe,Yes,By-law No. 2025-86 & 2025-87,https://www.townofbwg.com/news/posts/notice-passing-of-municipal-wide-development-charges-by-law/,2025-09-02,,,Yes,"EXEMPTIONS FOR CERTAIN BUILDINGS 18. 1) d) a non-residential farm building, save and except for the gross floor area within a greenhouse that is used for the purposes of carrying on retail sales",https://www.townofbwg.com/
Brampton,Lower Tier,Peel,Yes,By-laws 110-2024 to 117-2024,https://www.brampton.ca/EN/City-Hall/Bylaws/Pages/Development-Charges-By-laws.aspx,2024-08-02,2034-08-02,"10-year term. Passed Jul 10 2024, effective Aug 2 2024. New rates effective Jan 2 2025.",Yes,"Agricultural uses, farm buildings, and other development that supports an agricultural use are exempt from development charges. This exemption does not extend to residential or commercial uses on these properties.",http://www.brampton.ca/en/pages/welcome.aspx
Brant,Single Tier,Brant,Yes,BY-LAW NUMBER 109-24,https://www.brant.ca/planning-and-development/development-fees-and-charges/,2024-06-05,2034-08-31,"This by-law will expire on August 31, 2034 which is five years from the passage of By-law 100-
19",Yes,This by-law shall not apply to land that is owned by and used for the purposes of: (c) a non-residential farm building; (d) a farm bunk house.,http://www.brant.ca/
Brantford,Single Tier,Brant,Yes,Bylaw No. 210-2021,https://www.brantford.ca/your-government/by-laws/by-law-library/development-charges-by-law-chapter-261/,2021-10-26,2026-10-26,"261.11.2 Effective - term - unless repealed
This Chapter shall continue in force and effect for a term not to exceed five years from the date
of its enactment, unless it is repealed at an earlier date by subsequent bylaw.",Yes,261.5.3 Farm building This Chapter shall not apply to land that is owned by and used for the purposes of the development of a farm building as defined in this Chapter.,http://www.brantford.ca/Pages/default.aspx
Brethour,Single Tier,Timiskaming,No,,—,,,,No DC Bylaw,,VALUE!
Brighton,Lower Tier,Northumberland,Yes,By-Law No. 015-2025,https://www.brighton.ca/living-in-brighton/by-law-enforcement/commonly-requested-by-laws/,2025-02-05,,"18. (ii) This by-law shall continue in force and effect for a term not to
exceed five years from the date of its enactment, unless it is
repealed at an earlier date.",No,,http://www.brighton.ca/
Brock,Lower Tier,Durham,Yes,By-law Number 3274-2024,https://www.townshipofbrock.ca/media/455bwlvp/3274-2024-development-charges-bylaw-accessible.pdf,2024-06-10,2034-06-17,31. This By-law expires five years after the date on which it comes into force and effect.,Yes,"22. Categories of Exemptions (g) development of Farm Buildings; where ""Farm Building"" means used as part of or in connection wit a bona fide farming operation, but excluding a Residential Use.",http://townshipofbrock.ca/
Brockton,Lower Tier,Bruce,Yes,By-Law 2024-096,https://www.brockton.ca/en/do-business/development-charges.aspx,2024-12-10,2034-01-14,"This by-law will expire at 12:01 AM on January 14, 2034 unless it is
repealed by Council at an earlier date.",Yes,"Other Exemptions 3.10 Notwithstanding the provisions of this by-law, development charges shall not be imposed with respect to: 3.10.2 The development of non-residential farm buildings constructed for bona fide farm uses.",http://www.brockton.ca/
Brockville,Single Tier,Leeds and Grenville,Yes,Bylaw Number: 083-2025,https://brockville.com/wp-content/uploads/2023/03/2025-Development-Charges-Bylaw-083-2025.pdf,2025-11-25,2045-11-25,Or until repealed,No,,http://www.brockville.com/
Brooke-Alvinston,Lower Tier,Lambton,No,,—,,,,No DC Bylaw,,http://brookealvinston.com/home/
Bruce,Upper Tier,Bruce,Yes,By-Law No. 2023-048,https://www.brucecounty.on.ca/sites/default/files/By-law%202023-048%20-%20Development%20Charges%20By-law.pdf,2023-11-16,,Until repealed.,Yes,"3.8 Other Exemptions/Reductions 3.8.4 Agricultural use, where ""agricultural use"" means use or intended use for bona fide farming purpose and has a farm business registration number, but excluding a residental use.",http://www.brucecounty.on.ca/
Bruce Mines,Single Tier,Algoma,No,,—,,,,No DC Bylaw,,http://www.brucemines.ca/
"Brudenell, Lyndoch and Raglan",Lower Tier,Renfrew,No,,—,,,,No DC Bylaw,,http://www.blrtownship.ca/
Burk's Falls,Single Tier,Parry Sound,No,,—,,,,No DC Bylaw,,http://www.burksfalls.net/
Burlington,Lower Tier,Halton,Yes,By-law 41-2024,https://www.burlington.ca/en/by-laws-and-animal-services/resources/By-laws/By-law-Search/2024-By-laws/041-2024-By-law.pdf,2024-06-01,,until repealed,Yes,1. e. (g) agricultural uses.,http://cms.burlington.ca/site4.aspx
Burpee and Mills,Single Tier,Manitoulin,No,,—,,,,No DC Bylaw,,http://www.burpeemills.com/
Caledon,Lower Tier,Peel,Yes,By-laws 2024-042 and 2024-043,https://www.caledon.ca/en/town-services/development-charges.aspx,2024-05-21,2034-05-21,10-year term. Background study Feb 29 2024.,Yes,"Non-residential agricultural buildings or structures are exempt. Also exempts: secondary portable dwellings on agricultural properties, on-farm wedding venues, country inns, buildings for agricultural tourism, farm-based home industries, farm cideries/wineries, garden suites, and on-farm diversified use buildings or structures. Must have valid Farm Business Registration Number and be assessed in Farmland Realty Tax Class.",http://www.town.caledon.on.ca/
Callander,Single Tier,Parry Sound,Yes,By-law 2020-1641,https://www.mycallander.ca/en/doing-business/development-charges.aspx,2020-02-25,2030-02-25,10-year term. Farm exemption status requires review of full bylaw text.,Not Known,Farm exemption status not confirmed from available sources. Review of full By-law 2020-1641 text required.,http://mycallander.ca/
Calvin,Single Tier,Nipissing,No,,—,,,,No DC Bylaw,,http://www.calvintownship.ca/
Cambridge,Lower Tier,Waterloo,Yes,By-laws 24-038 to 24-042 (as amended),https://www.cambridge.ca/en/build-invest-grow/development-charges.aspx,2024-06-01,2034-06-01,10-year term. Annual indexing Dec 1. Amended Oct 23 2024. 2025 rates effective Dec 1 2024 to Nov 30 2025.,Yes,Non-residential farm buildings are exempt from development charges. Farm related structures are also exempt.,http://www.cambridge.ca/
Carleton Place,Lower Tier,Lanark,Yes,By-law No. 09-2025,https://carletonplace.ca/wp-content/uploads/2025/04/Development-Charges-Bylaw-Pamphlet-Final.pdf,2025-02-18,,,No,,http://www.carletonplace.ca/
Carling,Single Tier,Parry Sound,No,,—,,,,No DC Bylaw,,http://www.carlingtownship.ca/
Carlow-Mayo,Lower Tier,Hastings,No,,—,,,,No DC Bylaw,,http://www.carlowmayo.ca/
Casey,Single Tier,Timiskaming,No,,—,,,,No DC Bylaw,,http://www.harley.ca/casey/
Casselman,Lower Tier,Prescott and Russell,Yes,By-laws 2023-032 & 2023-033 (amended by 2024-37),https://www.casselman.ca/en/citizen-services/construction-and-planning/development-charges,2023-06-27,2028-06-27,,Yes,3. Applicable Lands (g) Other Exemptions; i. The development of a non-residential farm building used for Bona Fide Farm Uses,http://www.en.casselman.ca/
Cavan Monaghan,Lower Tier,Peterborough,Yes,By-law Number 2022-43,https://www.cavanmonaghan.net/media/zhbeeemg/by-law-no-2022-43-development-charges.pdf,2022-08-02,2027-08-02,,Yes,3.10 Other Exemptions c) the development of non-residential farm buildings constructed for bona fide farm uses.,http://www.cavanmonaghan.net/siteengine/activepag
