Municipality,Municipal Status,County / Region,Has DC Bylaw,Farm Building Exemption,Worker Housing DC Treatment,Worker Housing Mechanism,Operative Wording (Excerpt),DC Bylaw Name,DC Bylaw Link
Adelaide-Metcalfe,Lower Tier,Middlesex,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"SECTION 3.8 Other Exemptions: (a) Notwithstanding the provision of this by-law, development charges shall not be imposed with respect to : (ii) non-residential farm buildings; (iii) and a temporary building or structure.",By-Law 57-2022 Development Charges,https://www.adelaidemetcalfe.on.ca/sites/default/files/2022-11/2022-57%20Development%20Charges.pdf
Adjala-Tosorontio,Lower Tier,Simcoe,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,3.10 (b) The development of non-residential farm buildings constructed for bona-fide farm uses except for any building constructed to accommodate an On-Farm business which shall be considered an industrial building.,By-law 2026-027,https://adjtos.ca/wp-content/uploads/2026/03/HEMSON_DC-Study-for-Adjala-Tosorontio_24March2026_Version-for-Public-Consultation.pdf
Admaston-Bromley,Lower Tier,Renfrew,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Ajax,Lower Tier,Durham,Yes,Yes,Silent - Standard Agricultural,Standard agricultural/farm building exemption; likely does not cover worker housing but operative text is ambiguous,"This by-law shall not apply to land, or any part thereof, that is: used for the purposes of the development of a farm building used for bona fide agricultural operations",BY-LAW NUMBER 13 - 2025,https://www.ajax.ca/en/inside-townhall/resources/Finance/By-law-13-2025-2024-Development-Charges-Background-Study-and-By-law.pdf
Alberton,Single Tier,Rainy River,No,Not Known,No DC Bylaw,Municipality does not levy Development Charges,,,—
Alfred and Plantagenet,Lower Tier,Prescott and Russell,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,,BY-LAW 2023-46,https://www.alfred-plantagenet.com/en/media/file/2023-46-finances-establish-development-charges-1pdf
Algonquin Highlands,Lower Tier,Haliburton,No,No DC Bylaw,No DC Bylaw,Municipality does not levy Development Charges,,,—
Alnwick-Haldimand,Lower Tier,Northumberland,Yes,No,No Farm Exemption,Municipality has a DC bylaw but does not exempt farm buildings; worker housing would be subject to residential DCs,"Notwithstanding clause 2 a) above, this by-law does not apply to the development of land that is owned by and used for the purpose of: vi) land, buildings, or structures for agricultural use which do not receive municipal sanitary sewer or water supply services",By-law No. 47-2023,https://ahtwp.squarespace.com/s/BL-47-2023-Development-Charges.pdf
Amaranth,Lower Tier,Dufferin,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,Non-residential farm buildings for bona fide farm uses exempt. Must have Farm Business Registration Number from OMAFRA and Farmland Realty Tax Class.,By-law 40-2024,https://www.amaranth.ca/media/hp0drppq/by-law-40-2024-development-charges.pdf
Amherstburg,Lower Tier,Essex,Yes,Yes,Silent - Non-Residential Only,Standard 'non-residential farm building' exemption; worker housing contains residential occupancy and would not qualify,"The development of non-residential farm buildings constructed for bonafide farm uses, excluding cannabis production facilities and commercial greenhouses",BY-LAW NO. 2024-085,https://www.amherstburg.ca/media/musgegdl/2024-085-development-charge-by-law-with-schedules-rm.pdf
