Municipality,County,Tier,Region,DB Status,DB Bylaw Name,DB Date Enacted,DB Has LGD Def,Audit Result,Link Status,Bylaw Name Match,LGD Keywords Found,Snippet,Source URL,Website Bylaw Links Found,Notes
Alnwick-Haldimand,Northumberland,Lower Tier,Central,COMPLETE,BY-LAW NO. 133-2019,,No,LINK BROKEN,HTTP 404,,,,https://www.ahtwp.ca/en/township-government/resources/Documents/BL-133-2019-Animal-Control.pdf,,HTTP HTTP 404 — link may be dead
Asphodel-Norwood,Peterborough,Lower Tier,Central,NO BY-LAW IN PLACE,BY-LAW NUMBER 2022-48,2022-11-08,Yes,NEEDS REVIEW,HTTP 404,,,,https://www.antownship.ca/Modules/Bylaws/Bylaw/Download/cc0b4142-01a1-4df4-ae77-6272f250880d,,Had a bylaw link but it's now broken — may have been replaced
Amherstburg,Essex,Lower Tier,Western,COMPLETE,BY-LAW 2022-008,2022-02-28,No,LINK BROKEN,HTTP 404,,,,https://www.amherstburg.ca/en/town-hall/resources/Bylaws/2022-008---Keeping-of-Animals.pdf,Animal Services (http://www.amherstburg.ca/home-and-property/animal-services/); Dog Licence (http://www.amherstburg.ca/home-and-property/animal-services/dog-licensing/),HTTP HTTP 404 — link may be dead
Assiginack,Manitoulin,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW #21-15,,No,NEEDS REVIEW,HTTP 404,,,,https://www.assiginack.ca/wp-content/uploads/2022/10/Animal-Control-By-law-21-15.pdf,,Had a bylaw link but it's now broken — may have been replaced
Amaranth,Dufferin,Lower Tier,Central,COMPLETE,BY-LAW 45-2005,2005-08-17,No,LINK BROKEN,HTTP 404,,,,https://www.amaranth.ca/en/municipal-government/resources/By-laws/45-2005---License-and-Registering-Dogs.pdf,Animal Services (https://www.amaranth.ca/resident-services/animal-services/),HTTP HTTP 404 — link may be dead
Admaston-Bromley,Renfrew,Lower Tier,Eastern,NO BY-LAW IN PLACE,By-Law No. 2014-32,2014-09-04,No,NO LGD PROVISIONS,200 OK,YES (exact),,,https://admastonbromley.com/wp-content/uploads/2023/02/2014-32-By-Law-Animal-Control.pdf,,Has animal control bylaw but no LGD-specific provisions found
Alfred and Plantagenet,Prescott and Russell,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW 2023-05,2023-01-17,No,NO LGD PROVISIONS,200 OK,NO,,,https://www.alfred-plantagenet.com/en/township-hall/by-laws.aspx#Animal-Control-and-Dog-Licensing-Fees,Animal Control (http://www.alfred-plantagenet.com/en/public-safety/animal-control); Dog Tags (http://www.alfred-plantagenet.com/en/public-safety/animal-control/dog-tags); Lost and Found Dogs (http://www.alfred-plantagenet.com/en/public-safety/animal-control/lost-found-dog),Has animal control bylaw but no LGD-specific provisions found
Atikokan,Rainy River,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 11-05,2005-12-19,No,NO LGD PROVISIONS,200 OK,,,,https://atikokan.ca/wp-content/uploads/2022/07/by-law-no-11-05.pdf,,Has animal control bylaw but no LGD-specific provisions found
Algonquin Highlands,Haliburton,Lower Tier,Central,NO BY-LAW IN PLACE,By-Law 2024-18,,No,NO LGD PROVISIONS,200 OK,,,,https://www.algonquinhighlands.ca/media/rwcbct1y/2024-18-dog-control-by-law-acc.pdf,Animal Services and Control (http://www.algonquinhighlands.ca/our-community/animal-services-and-control/),Has animal control bylaw but no LGD-specific provisions found
Armour,Parry Sound,Single Tier,Northern,COMPLETE,BY-LAW #18-2023,2023-04-11,No,OUTDATED,200 OK,YES (exact),,,https://irp.cdn-website.com/20e551fd/files/uploaded/Animal%20Control%20Bylaw.pdf,,"Newer bylaw detected: cited as “The Animal Control By-law”
13. REPEAL
13.1 By-law# 2016-63 is hereby repealed.
14. FORCE AND EFFECT
14.1 This By-law shall come into force and take effect as"
Arran-Elderslie,Bruce,Lower Tier,Western,NO BY-LAW IN PLACE,BY-LAW NO. 40-2019,,No,NEEDS REVIEW,HTTP 404,,,,https://www.arran-elderslie.ca/en/municipal-services/resources/Documents/40-19---Animal-Control-By-law.pdf,,Had a bylaw link but it's now broken — may have been replaced
Aurora,York,Lower Tier,Central,COMPLETE - FARM FRIENDLY,By-law Number 6197-19,2019-07-23,No,NEEDS REVIEW,200 OK,NO,,,https://records.aurora.ca/WebLink/DocView.aspx?id=17725&dbid=0&repo=Public&cr=1,Animal Services (https://www.aurora.ca/town-services/animal-services/); Pet Licences (https://www.aurora.ca/town-services/animal-services/pet-licenses/),Link live but bylaw name not found in document — may have been replaced
Black River-Matheson,Cochrane,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Baldwin,Sudbury,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NEEDS REVIEW,NO LINK,N/A (no name in DB),,,,Animal Control (https://baldwin.ca/animal-services/),No bylaw link in DB but animal-related links found on website
Adjala-Tosorontio,Simcoe,Lower Tier,Central,NO BY-LAW IN PLACE,By-law 11-25,2019-07-10,Yes,NEEDS REVIEW,HTTP 404,,,,https://www.adjtos.ca/en/our-government/resources/Documents/By-laws/By-law-11-25---Canine-Control-By-law-Consolidated.pdf,Animal Services (https://www.adjtos.ca/community/animal-services/),Had a bylaw link but it's now broken — may have been replaced
Adelaide-Metcalfe,Middlesex,Lower Tier,Western,NO BY-LAW IN PLACE,"BY-LAW 2023-44
Animal Control",2023-07-17,Yes,NO LGD PROVISIONS,200 OK,,,,https://www.adelaidemetcalfe.on.ca/sites/default/files/2023-09/2023-44%20Animal%20Control%20Bylaw.pdf#https://www.adelaidemetcalfe.on.ca/sites/default/files/2023-09/2023-44 Animal Control Bylaw.pdf,,Has animal control bylaw but no LGD-specific provisions found
Blind River,Algoma,Single Tier,Northern,NO BY-LAW IN PLACE,BY-LAW NO. 19-26,2019-04-15,No,NEEDS REVIEW,HTTP 404,,,,https://www.blindriver.ca/en/town-hall/resources/Documents/19-26-Regulate-Animals.pdf,,Had a bylaw link but it's now broken — may have been replaced
Alberton,Rainy River,Single Tier,Northern,NO BY-LAW IN PLACE,,,,NO ANIMAL CONTROL BYLAW,NO LINK,N/A (no name in DB),,,,,No bylaw link and no animal control bylaw found on website
Bayham,Elgin,Lower Tier,Western,NO BY-LAW IN PLACE,BY- LAW NO. 2023- 011,2023-03-16,No,NO LGD PROVISIONS,200 OK,,,,https://laserfiche.bayham.on.ca/WebLink/PDF10/2e50a717-64ec-48c8-9385-a67a29aaaf5b/444409,,Has animal control bylaw but no LGD-specific provisions found
Blandford-Blenheim,Oxford,Lower Tier,Western,COMPLETE,BY-LAW NUMBER 2275-2021,2020-03-18,Yes,LINK BROKEN,HTTP 404,,,,https://www.blandfordblenheim.ca/en/township/resources/By-Laws/Consolidated-2275-2021-Animal-Care-and-Control.pdf,Animal Control (http://www.blandfordblenheim.ca/living-here/animal-control/); Animal Control (http://www.blandfordblenheim.ca/my-government/clerk-services/animal-control/),HTTP HTTP 404 — link may be dead
Belleville,Hastings,Single Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW NUMBER 2005-206,2005-12-12,No,NEEDS REVIEW,ERROR,,,,"ge 2
“Dwelling Unit” shall mean a room or suite of two or more rooms designed or intended
for use by an individual or family in which culinary and sanitary conveniences are
provided for the exclusive use of such individual or family and with a private
entrance from outside the building or from a common hallway or stairway inside,
but does not include a hotel, motel, boarding, rooming a#http://ge 2
“Dwelling Unit” shall mean a room or suite of two or more rooms designed or intended
for use by an individual or family in which culinary and sanitary conveniences are
provided for the exclusive use of such individual or family and with a private
entrance from outside the building or from a common hallway or stairway inside,
but does not include a hotel, motel, boarding, rooming a",Pets and Animal Control (http://www.belleville.ca/en/home-and-property/pets-and-animal-control.aspx),Had a bylaw link but it's now broken — may have been replaced
Beckwith,Lanark,Lower Tier,Eastern,NO BY-LAW IN PLACE,BY-LAW 2021-63,2021-12-07,No,NO LGD PROVISIONS,200 OK,NO,,,https://beckwith.civicweb.net/filepro/documents/108/?preview=2197,,Has animal control bylaw but no LGD-specific provisions found
