Municipality,County,Extraction Status,Source URL,NEW_bylaw_name,NEW_date_enacted,NEW_progress_label,NEW_has_lgd_definition,NEW_lgd_definition,NEW_has_herding_def,NEW_herding_definition,NEW_exempt_license_fees,NEW_collar_tag_req,NEW_barking_restrictions,NEW_exempt_barking,NEW_dog_limit,NEW_notes,OLD_bylaw_name,OLD_date_enacted,OLD_progress_label,OLD_has_lgd_definition,OLD_lgd_definition,OLD_has_herding_def,OLD_herding_definition,OLD_exempt_license_fees,OLD_collar_tag_req,OLD_barking_restrictions,OLD_exempt_barking,OLD_dog_limit,DB_bylaw_id
Armour,Parry Sound,SUCCESS,,BY-LAW #18-2023,2023-04-11,COMPLETE,No,,No,,No,The owner of a dog shall be furnished with a numbered dog tag and the said tag shall be kept securely fixed on the dog at all times and shall not use the dog tag upon a dog other than the one it was issued for.,Yes,No,No owner or owners living at the same address shall keep more than 4 dogs in any one household over the age of twelve (12) weeks.,Standard animal control bylaw with no farm-friendly LGD provisions.,BY-LAW #18-2023,2023-04-11,COMPLETE,No,,No,,No,Yes,Yes,No,4,95
Bluewater,Huron,SUCCESS,,By-law 34-2015,,COMPLETE - FARM FRIENDLY,Yes,"""Livestock Guardian Dog"" means a dog that works and/or lives with domestic farm animals (e.g. cattle, sheep, poultry) to protect them by repelling predators and is used exclusively for that purpose.",Yes,"""Herding Dog"" means a dog that has been trained and is actively being used in a bona fide farming operation for the purposes of controlling livestock on the farm.",No,"Except as provided herein, no person shall harbour a dog or dogs within the boundaries of the Municipality unless such dog has affixed to it a current dog tag issued under this by-law.",Yes,No,"No person shall keep more than three (3) dogs in any one dwelling unit within the Municipality. Notwithstanding Sections 4.1 and 4.2, more than three (3) dogs may be kept in a dwelling unit that is not a kennel licensed by the Municipality, provided that: the dwelling unit is not in an Urban area, the person is keeping livestock upon the same premises, the premises is on land that is zoned agricultural, the dogs are licensed annually in accordance with this by-law, and the dogs are livestock guardian dogs and or herding dogs.",Bylaw contains specific exemptions for livestock guardian dogs and herding dogs regarding dog limits on agricultural land.,By-law 34-2015,2015-03-16,NO BY-LAW IN PLACE,Yes,"a dog that works and/or lives with domestic farm animals (e.g. cattle, sheep, poultry) to protect them by repelling predators and is used exclusively for that purpose.",Yes,a dog that has been trained and is actively being used in a bona fide farming operation for the purposes of controlling livestock on the farm.,No,Yes,Yes,No,none for agricultural,235
Arnprior,Renfrew,SUCCESS,,By-law Number 5991-11,2011-07-11,COMPLETE,No,,No,,No,The owner of a dog or cat shall keep the tag securely affixed on the animal for which it was issued at all times.,Yes,No,"There shall be no more than two (2) dogs and (2) cats kept, possessed or harboured at any one household for a total of no more than four (4) animals.",Standard animal control bylaw with no farm-friendly LGD provisions.,"By-law Number 5991-11, 
as amended by Bylaw 6149-12",2011-07-11,NO BY-LAW IN PLACE,No,,No,,No,Yes,Yes,No,3,109
Aylmer,Elgin,SUCCESS,,BY-LAW NO. 09-06,2006-02-27,COMPLETE,No,,No,,No,Shall procure a tag for such dog which tag shall be kept securely fixed on the dog until a tag is procured for the following year.,No,N/A,"No land, building or structure in the Town of Aylmer shall be used for the keeping of more than three dogs, three cats or three of any other permitted animal, except in an animal clinic or retail store selling cats or dogs, or a legally licensed and registered Kennel.",Section 31(b) allows dogs in an Agricultural Zone to be kept from leaving property by 'any reasonable means' rather than strictly enclosed. No specific LGD definitions.,BY-LAW NO. 09-06,2006-02-27,COMPLETE,No,,No,,No,7,No,No,"No land, building or structure in the Town of Aylmer shall be used for the keeping of more than three dogs , three cats or three of any other permitted animal , except in an animal clinic or retail store selling cats or dogs, or a legally licensed and registered Kennel.",158
Bradford West Gwillimbury,Simcoe,SUCCESS,,Unknown,,COMPLETE,No,,No,,N/A,,No,N/A,Unknown,URL NOT ACCESSIBLE,By-Law Number 2019-109,2019-12-17,COMPLETE,No,,No,,No,Yes,Yes,No,3,263
Brighton,Northumberland,SUCCESS,,By-Law No. 052-2020,2020-06-01,COMPLETE,No,,No,,No,"When a dog is off the property of its owner, the owner shall ensure that the dog is fitted with a collar appropriate to the size of the dog, to which shall be attached the current licence tag issued by the Municipality of Brighton for that dog.",Yes,No,"No person or group of persons shall own, keep, harbour or possess more than 3 dogs at one time on property owned, rented, leased or controlled by them unless the appropriate class of kennel permit has been lawfully issued for the property.",Standard animal control bylaw with no farm-friendly LGD provisions.,By-Law No. 052-2020,2020-06-01,COMPLETE,No,,No,,No,Yes,Yes,No,3,298
Barrie,Simcoe,SUCCESS,,Unknown,,COMPLETE,No,,No,,N/A,,No,N/A,Unknown,URL NOT ACCESSIBLE (PDF text stream unreadable),By-law 2010-035,2010-02-22,COMPLETE,No,,No,,No,Yes,No,N/A,3,179
Brooke-Alvinston,Lambton,SUCCESS,,By-law Number 5 of 2017,2017-01-26,COMPLETE - FARM FRIENDLY,No,,Yes,"""Herding Dog"" means a dog that has been trained and is actively being used in a bon fide farming operation for the purposes of controlling livestock on the farm",No,The owner shall securely fix the dog tag on the dog and shall keep such tag securely fixed on the dog at all times until the tag is renewed or replaced.,Yes,Yes,"No owner shall keep in or upon any lands or premises within the Municipality of Brooke-Alvinston, irrespective of the number of owners, more than two (2) dogs/household unless in a licensed kennel.",Section 8.1 explicitly exempts livestock guardian dogs from barking restrictions if actively engaged in guarding livestock against predators.,By-law Number 5 of 2017,2017-01-26,NO BY-LAW IN PLACE,No,,Yes,a dog that has been trained and is actively being used in a bon fide farming operation for the purposes of controlling livestock on the farm.,No,Yes,Yes,Yes,2,326
Brantford,Brant,SUCCESS,,Unknown,,COMPLETE,No,,No,,N/A,,No,N/A,Unknown,URL NOT ACCESSIBLE (PDF text stream unreadable),By-law 29-2018,2018-02-27,COMPLETE - FARM FRIENDLY,No,,No,,No,Yes,No,N/A,3,284
Central Huron,Huron,SUCCESS,,BY-LAW 16-2012,2012-01-09,COMPLETE - FARM FRIENDLY,No,,Yes,"""Herding Dog"" means a dog that has been trained and is actively being used in a bona fide farming operation for the purposes of controlling livestock on the farm",No,No person shall harbour a dog or dogs within the boundaries of the Municipality of Central Huron unless such dog has affixed to it a current dog tag issued under this By-law,Yes,No,"The total number of cats and dogs shall not exceed five (5) within urban areas... with a maximum number of two (2) dogs harboured at any one time in a dwelling unit. No more than three (3) dogs shall be harboured, at any time, in a dwelling unit located within rural areas... In a rural area, a person may harbour more than three (3) dogs at a premise without a kennel license, provided all the following conditions are met: The person is keeping livestock upon the same premises, and; The premises are on land that is zoned agricultural, and; The dogs are licensed annually in accordance with this by-law, and; The dogs are livestock guardian dogs and/or herding dogs.",Farm-friendly exemptions allow exceeding the 3-dog limit in rural areas for livestock guardian and herding dogs on agricultural land with livestock.,BY-LAW 16-2012,2012-01-09,NO BY-LAW IN PLACE,No,,Yes,a dog that has been trained and is actively being used in a bona fide farming operation for the purposes of controlling livestock on the farm,No,Yes,Yes,No,"In a rural area, a person may harbour more than three (3) dogs at a premise without a kennel license, provided all the following conditions are met. 4.4.1. The person is keeping livestock upon the same premises, 4.4.2. The premises are on land that is zoned agricultural, 4.4.3. The dogs are licensed annually in accordance with this by-law, 4.4.4. The dogs are livestock guardian dogs and/or herding dogs",508
