Municipality,County / Upper Tier,Date Scanned,Keyword Found,Source URL
ADDINGTON HIGHLANDS,ADDINGTON HIGHLANDS,2026-04-15,ALTO,https://addingtonhighlands.civicweb.net/document/79653
ADDINGTON HIGHLANDS,ADDINGTON HIGHLANDS,2026-04-15,High-speed rail,https://addingtonhighlands.civicweb.net/document/79653 
CARLETON PLACE TP,Lanark,2026-04-15,ALTO,https://pub-carletonplace.escribemeetings.com/FileStream.ashx?DocumentId=16725 
CARLETON PLACE TP,Lanark,2026-04-15,High Speed Rail,https://pub-carletonplace.escribemeetings.com/FileStream.ashx?DocumentId=16725 
CARLETON PLACE TP,Lanark,2026-04-15,High-speed rail,https://pub-carletonplace.escribemeetings.com/FileStream.ashx?DocumentId=16725 
ENNISKILLEN TP,Lambton,2026-04-15,ALTO,https://www.enniskillen.ca/wp-content/uploads/2026/04/Agenda-Council-April-7-2026.pdf 
ENNISKILLEN TP,Lambton,2026-04-15,High Speed Rail,https://www.enniskillen.ca/wp-content/uploads/2026/04/Agenda-Council-April-7-2026.pdf 
GANANOQUE TP,Leeds and Grenville,2026-04-15,ALTO,https://s3.ca-central-1.amazonaws.com/gananoque.ca/s3fs-public/meetings/agendas/Minutes-Council-10-Unadopted-With Paperclip-08Apr2026.pdf 
GANANOQUE TP,Leeds and Grenville,2026-04-15,High-speed rail,https://s3.ca-central-1.amazonaws.com/gananoque.ca/s3fs-public/meetings/agendas/Minutes-Council-10-Unadopted-With Paperclip-08Apr2026.pdf 
GANANOQUE TP,Leeds and Grenville,2026-04-15,ALTO,https://s3.ca-central-1.amazonaws.com/gananoque.ca/s3fs-public/meetings/agendas/Minutes-Council-10-Unadopted-Without Paperclip-08Apr2026.pdf 
GANANOQUE TP,Leeds and Grenville,2026-04-15,High-speed rail,https://s3.ca-central-1.amazonaws.com/gananoque.ca/s3fs-public/meetings/agendas/Minutes-Council-10-Unadopted-Without Paperclip-08Apr2026.pdf 
GANANOQUE TP,Leeds and Grenville,2026-04-15,ALTO,https://s3.ca-central-1.amazonaws.com/gananoque.ca/s3fs-public/meetings/minutes/Minutes-Council-10-Unadopted-With Paperclip-08Apr2026_0.pdf 
GANANOQUE TP,Leeds and Grenville,2026-04-15,High-speed rail,https://s3.ca-central-1.amazonaws.com/gananoque.ca/s3fs-public/meetings/minutes/Minutes-Council-10-Unadopted-With Paperclip-08Apr2026_0.pdf 
GANANOQUE TP,Leeds and Grenville,2026-04-15,ALTO,https://s3.ca-central-1.amazonaws.com/gananoque.ca/s3fs-public/meetings/minutes/Minutes-Council-10-Unadopted-Without Paperclip-08Apr2026_0.pdf 
