munid,municipality_name,tier
11033,ADDINGTON HIGHLANDS TP,lower_single
39010,ADELAIDE METCALFE TP,lower_single
43002,ADJALA TOSORONTIO TP,lower_single
47041,ADMASTON BROMLEY TP,lower_single
18005,AJAX TP,lower_single
59011,ALBERTON TP,lower_single
2030,ALFRED AND PLANTAGENET TP,lower_single
46020,ALGONQUIN HIGHLANDS TP,lower_single
14015,ALNWICK HALDIMAND TP,lower_single
22008,AMARANTH TP,lower_single
37025,AMHERSTBURG TP,lower_single
49019,ARMOUR TP,lower_single
54036,ARMSTRONG TP,lower_single
47002,ARNPRIOR TP,lower_single
41037,ARRAN ELDERSLIE M,lower_single
40030,ASHFIELD COLBORNE WAWANOSH TP,lower_single
15002,ASPHODEL NORWOOD TP,lower_single
51011,ASSIGINACK TP,lower_single
7040,ATHENS TP,lower_single
59001,ATIKOKAN TP,lower_single
7006,AUGUSTA TP,lower_single
19046,AURORA TP,lower_single
34011,AYLMER TP,lower_single
52028,BALDWIN TP,lower_single
12061,BANCROFT TP,lower_single
43042,BARRIE C,lower_single
34003,BAYHAM M,lower_single
9024,BECKWITH TP,lower_single
12005,BELLEVILLE C,lower_single
51021,BILLINGS TP,lower_single
56014,BLACK RIVER MATHESON TP,lower_single
32045,BLANDFORD BLENHEIM TP,lower_single
57038,BLIND RIVER T,lower_single
40010,BLUEWATER M,lower_single
48026,BONFIELD TP,lower_single
47015,BONNECHERE VALLEY TP,lower_single
44018,BRACEBRIDGE TP,lower_single
43013,BRADFORD WEST GWILLIMBURY TP,lower_single
21010,BRAMPTON C,lower_single
29002,BRANT,lower_single
29006,BRANTFORD C,lower_single
54032,BRETHOUR TP,lower_single
14005,BRIGHTON M,lower_single
18039,BROCK TP,lower_single
41030,BROCKTON M,lower_single
7015,BROCKVILLE C,lower_single
38011,BROOKE ALVINSTON M,lower_single
57021,BRUCE MINES T,lower_single
47018,BRUDENELL LYNDOCH AND RAGLAN TP,lower_single
49022,BURK TMS FALLS TP,lower_single
24002,BURLINGTON C,lower_single
51028,BURPEE AND MILLS TP,lower_single
21024,CALEDON TP,lower_single
49066,CALLANDER M,lower_single
48022,CALVIN M,lower_single
30006,CAMBRIDGE C,lower_single
9028,CARLETON PLACE TP,lower_single
49036,CARLING TP,lower_single
12067,CARLOW MAYO TP,lower_single
54029,CASEY TP,lower_single
2044,CASSELMAN M,lower_single
15012,CAVAN MONAGHAN TP,lower_single
23010,CENTER WELLINGTON TP,lower_single
34015,CENTRAL ELGIN M,lower_single
10025,CENTRAL FRONTENAC TP,lower_single
40025,CENTRAL HURON M,lower_single
51009,CENTRAL MANITOULIN M,lower_single
12023,CENTRE HASTINGS M,lower_single
54054,CHAMBERLAIN TP,lower_single
2005,CHAMPLAIN TP,lower_single
52092,CHAPLEAU TP,lower_single
59024,CHAPPLE TP,lower_single
54047,CHARLTON AND DACK M,lower_single
36003,CHATHAM KENT M,lower_single
42031,CHATSWORTH TP,lower_single
48031,CHISHOLM TP,lower_single
2036,CLARENCE ROCKLAND C,lower_single
18017,CLARINGTON M,lower_single
43030,CLEARVIEW TP,lower_single
54008,COBALT TP,lower_single
14021,COBOURG TP,lower_single
56037,COCHRANE TP,lower_single
51034,COCKBURN ISLAND TP,lower_single
54001,COLEMAN TP,lower_single
43031,COLLINGWOOD TP,lower_single
58019,CONMEE TP,lower_single
1012,CORNWALL C,lower_single
14010,CRAMAHE TP,lower_single
38005,DAWN EUPHEMIA TP,lower_single
59040,DAWSON TP,lower_single
47096,DEEP RIVER TP,lower_single
12002,DESERONTO TP,lower_single
58034,DORION TP,lower_single
15021,DOURO DUMMER TP,lower_single
9007,DRUMMOND NORTH ELMSLEY TP,lower_single
60025,DRYDEN C,lower_single
57079,DUBREUILVILLE TP,lower_single
34028,DUTTON DUNWICH M,lower_single
46024,DYSART ET AL M,lower_single
60042,EAR FALLS TP,lower_single
48034,EAST FERRIS M,lower_single
22001,EAST GARAFRAXA TP,lower_single
19054,EAST GWILLIMBURY TP,lower_single
2001,EAST HAWKESBURY TP,lower_single
32038,EAST ZORRA TAVISTOCK TP,lower_single
7003,EDWARDSBURGH CARDINAL TP,lower_single
7011,ELIZABETHTOWN KITLEY TP,lower_single
57041,ELLIOT LAKE C,lower_single
59019,EMO TP,lower_single
54052,ENGLEHART TP,lower_single
38016,ENNISKILLEN TP,lower_single
23015,ERIN TP,lower_single
52026,ESPANOLA TP,lower_single
43021,ESSA TP,lower_single
37020,ESSEX TP,lower_single
54049,EVANTUREL TP,lower_single
12058,FARADAY TP,lower_single
56052,FAUQUIER STRICKLAND TP,lower_single
26003,FORT ERIE TP,lower_single
59012,FORT FRANCES TP,lower_single
52001,FRENCH RIVER M,lower_single
7017,FRONT OF YONGE TP,lower_single
10002,FRONTENAC ISLANDS TP,lower_single
7024,GANANOQUE TP,lower_single
54066,GAUTHIER TP,lower_single
44065,GEORGIAN BAY TP,lower_single
42055,GEORGIAN BLUFFS TP,lower_single
19070,GEORGINA TP,lower_single
58012,GILLIES TP,lower_single
40028,GODERICH T,lower_single
51024,GORDON BARRIE ISLAND M,lower_single
51026,GORE BAY TP,lower_single
22005,GRAND VALLEY TP,lower_single
