munid,municipality_name,tier,portal_type,council_listing_url,minutes_listing_url,agenda_listing_url,example_recent_minutes_url,example_recent_minutes_date,example_upcoming_agenda_url,example_upcoming_agenda_date,minutes_format,agenda_format,notes,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
ADDINGTON HIGHLANDS TP,ADDINGTON HIGHLANDS,TP,civicweb,https://addingtonhighlands.civicweb.net/Portal/MeetingTypeList.aspx,https://addingtonhighlands.civicweb.net/filepro/documents/5342/,https://addingtonhighlands.civicweb.net/filepro/documents/1021/,https://addingtonhighlands.civicweb.net/filepro/documents/5341,2026-06-04,https://addingtonhighlands.civicweb.net/document/79996,2025-12-16,PDF,PDF,JS required (CivicWeb portal),,,,,,,
ADELAIDE METCALFE TP,ADELAIDE METCALFE,TP,escribe,https://pub-adelaidemetcalfe.escribemeetings.com/,https://pub-adelaidemetcalfe.escribemeetings.com/,https://pub-adelaidemetcalfe.escribemeetings.com/,https://pub-adelaidemetcalfe.escribemeetings.com/,2026-05-26,,,PDF,PDF,JS required (eScribe portal; 2025 agendas/minutes via portal),,,,,,,
ADJALA TOSORONTIO TP,ADJALA TOSORONTIO,TP,civicweb,https://addingtonhighlands.civicweb.net/Portal/MeetingTypeList.aspx,https://adjala-tosorontio.civicweb.net/Portal/,https://adjala-tosorontio.civicweb.net/Portal/,https://adjala-tosorontio.civicweb.net/filepro/documents/4448,2026-05-06,https://adjala-tosorontio.civicweb.net/Portal/,2025-12-08,PDF,PDF,JS required (CivicWeb portal),,,,,,,
ADMASTON BROMLEY TP,ADMASTON BROMLEY,TP,custom_html_pdf,https://admastonbromley.com/archive-council/,https://admastonbromley.com/committee-agendas-minutes/,https://admastonbromley.com/archive-council/,https://admastonbromley.com/wp-content/uploads/2025/12/2026-01-05-Resume-Planning-Committee-Agenda-Complete-Agenda-Reduced.pdf,2026-05-28,,,PDF,PDF,PDF agendas/minutes posted on township site (no 2024/2025 updates online),,,,,,,
AJAX TP,AJAX,TP,custom_html_pdf,https://events.ajax.ca/meetings,https://www.ajax.ca/en/inside-townhall/council-and-standing-committees.aspx,https://events.ajax.ca/meetings,https://www.ajax.ca/en/inside-townhall/resources/Meeting-Schedule/2026-Meeting-Schedule.pdf,2026-05-28,,,PDF,PDF,Council calendar site (agendas/minutes packages via events portal),,,,,,,
ALBERTON TP,ALBERTON,TP,custom_html_pdf,https://alberton.ca/township-council/,https://alberton.ca/township-council/,https://alberton.ca/township-council/,https://alberton.ca/wp-content/uploads/2026/05/May-21-2026-Council-Agenda.pdf,2026-05-28,,,PDF,PDF,,,,,,,,
ALFRED AND PLANTAGENET TP,ALFRED AND PLANTAGENET,TP,escribe,https://pub-alfred-plantagenet.escribemeetings.com/,https://pub-alfred-plantagenet.escribemeetings.com/,https://pub-alfred-plantagenet.escribemeetings.com/,https://pub-alfred-plantagenet.escribemeetings.com:443/FileStream.ashx?DocumentId=4260,2026-05-28,,2025-03-25,PDF,PDF,JS required (French/English portal),,,,,,,
ALGONQUIN HIGHLANDS TP,ALGONQUIN HIGHLANDS,TP,civicweb,https://algonquinhighlands.civicweb.net/Portal/,https://www.algonquinhighlands.ca/municipal-services/council/agendas-and-minutes/,https://algonquinhighlands.civicweb.net/Portal/,https://www.algonquinhighlands.ca/media/yaeoxiyt/2020-03_sewage_system_permit_application_package-acc.pdf,2026-05-28,,2025-11-20,PDF,PDF,JS required (CivicWeb portal),,,,,,,
ALNWICK HALDIMAND TP,ALNWICK HALDIMAND,TP,civicweb,https://alnwickhaldimand.civicweb.net/Portal/,https://alnwickhaldimand.civicweb.net/Portal/,https://alnwickhaldimand.civicweb.net/Portal/,https://alnwickhaldimand.civicweb.net/filepro/documents/155534,2026-05-06,,,PDF,PDF,JS required (CivicWeb portal),,,,,,,
AMARANTH TP,AMARANTH,TP,escribe,https://pub-amaranth.escribemeetings.com/,https://pub-amaranth.escribemeetings.com/Meeting.aspx?Id=5bd290ce-dd48-41dd-96b9-c906c83481a9&Agenda=Agenda&lang=English,https://pub-amaranth.escribemeetings.com/,https://www.amo.on.ca/sites/default/files/assets/DOCUMENTS/Pre-Budget%20Submissions/2024/Pre-Budget_Submission_V7.pdf,2026-05-28,,,PDF,PDF,JS required (eScribe portal),,,,,,,
