munid,municipality_name,tier
48031,CHISHOLM TP,lower_single
2036,CLARENCE ROCKLAND C,lower_single
18017,CLARINGTON M,lower_single
43030,CLEARVIEW TP,lower_single
54008,COBALT TP,lower_single
14021,COBOURG TP,lower_single
56037,COCHRANE TP,lower_single
51034,COCKBURN ISLAND TP,lower_single
54001,COLEMAN TP,lower_single
43031,COLLINGWOOD TP,lower_single
58019,CONMEE TP,lower_single
1012,CORNWALL C,lower_single
14010,CRAMAHE TP,lower_single
38005,DAWN EUPHEMIA TP,lower_single
59040,DAWSON TP,lower_single
47096,DEEP RIVER TP,lower_single
12002,DESERONTO TP,lower_single
58034,DORION TP,lower_single
15021,DOURO DUMMER TP,lower_single
9007,DRUMMOND NORTH ELMSLEY TP,lower_single
60025,DRYDEN C,lower_single
57079,DUBREUILVILLE TP,lower_single
34028,DUTTON DUNWICH M,lower_single
46024,DYSART ET AL M,lower_single
60042,EAR FALLS TP,lower_single
