munid,name,found_url,found_date,trigger_keyword,category,raw_text_length,ai_summary,ai_confidence
ADMASTON BROMLEY TP,ADMASTON BROMLEY,https://admastonbromley.com/wp-content/uploads/2024/01/1-Agenda-2024-01-04-Pdf.pdf,2026-03-30,Backyard Chickens,CHICKENS,39702,"The Township of Admaston/Bromley Council voted to adopt a new bylaw (2023-61) to regulate backyard chickens. Concurrently, the Council approved an amendment to the Fees and Charges By-Law (2023-62) to establish a permit fee for backyard chickens.",100
KAWARTHA LAKES C,KAWARTHA LAKES,https://pub-kawarthalakes.escribemeetings.com/FileStream.ashx?DocumentId=89243,2026-03-30,More Homes Built Faster Act,DC,86944,"The municipality is endorsing the proposed heritage designation of 6673 Highway 35 (the Pattie House) under Part IV of the Ontario Heritage Act. This action is a direct response to amendments introduced by Bill 23, the More Homes Built Faster Act, which mandates municipalities to designate listed properties or remove them from the Heritage Register.",100
KING TP,KING,https://pub-king.escribemeetings.com/Meeting.aspx?Id=5bf85c88-8ee5-48fe-b944-bfb56683a242&lang=English,2026-03-30,Proposed Development Charges By-law,DC,3227,"The municipality is informing the public of an upcoming meeting on May 11, 2026, to discuss the Development Charges Background Study and the proposed Development Charges By-law. This public meeting is a required step in the process of establishing or updating the municipality's development charge policies.",100
KING TP,KING,https://pub-king.escribemeetings.com/Meeting.aspx?Id=5bf85c88-8ee5-48fe-b944-bfb56683a242&Agenda=Agenda&lang=English,2026-03-30,Development Charges Background Study,DC,3227,"The municipality is providing public notice of an upcoming meeting scheduled for May 11, 2026. This meeting will focus on the Development Charges Background Study and the municipality's proposed new Development Charges By-law.",100
KING TP,KING,https://pub-king.escribemeetings.com/Meeting.aspx?Id=5bf85c88-8ee5-48fe-b944-bfb56683a242&Agenda=Agenda&lang=English,2026-03-30,Proposed Development Charges By-law,DC,3227,The municipality is formally providing public notice of an upcoming meeting to discuss its Development Charges Background Study and a Proposed Development Charges By-law. This action serves as a crucial step in the statutory process for considering and potentially enacting a new bylaw to levy development charges.,100
MELANCTHON TP,MELANCTHON,https://melancthontownship.ca/council/council-agendas-minutes/,2026-03-30,Development Charges Background Study,DC,14176,"The municipality formally considered an addendum to its 2024 Development Charges Background Study at its July 18, 2024 hybrid meeting. This action reflects the Council's review of updated information directly related to the municipality's development charge policies.",100
MELANCTHON TP,MELANCTHON,https://melancthontownship.ca/council/council-agendas-minutes/,2026-03-30,Proposed Development Charges By-law,DC,14176,"The municipality addressed a revised proposed Development Charges By-law at its August 15, 2019 meeting. This indicates an active stage in the process of establishing or amending the local development charges framework.",100
MONO TP,MONO,https://townofmono.com/government/council-highlights,2026-03-30,Development Charges Background Study,DC,48688,"The municipality is actively undertaking a Development Charges Background Study. This study is a mandated precursor to potentially updating or enacting a new Development Charges Bylaw, which outlines fees for new development to fund growth-related capital costs.",100
MONO TP,MONO,https://townofmono.com/government/council-highlights,2026-03-30,Site Alteration Bylaw,SITE_ALT,48688,"The municipality is actively developing new policy regarding land use. Specifically, a draft Site Alteration Bylaw is under consideration.",100
MONO TP,MONO,https://townofmono.com/government/council-highlights,2026-03-30,Fill Bylaw,SITE_ALT,48688,The municipality is actively reviewing and updating its regulations concerning the movement and alteration of fill. Council has advanced amendments to both the broader Fill Bylaw and the specific Site Alteration & Movement of Fill Bylaw.,100
