muni_id,municipality,tier,region,website,bylaw_id,bylaw_name,bylaw_link,date_enacted,expiry_date,progress_label,other_notes,exemption_status,exemption_wording,detail_id,farm_exemption,special_provision,guidelines_wording,exception_wording
4,Adelaide-Metcalfe,Lower Tier,Middlesex,http://www.adelaidemetcalfe.on.ca/siteengine/acti,24,,,,,COMPLETE,,N/A,,4,N/A,N/A,,
5,Adjala-Tosorontio,Lower Tier,Simcoe,https://www.adjtos.ca/en/index.aspx,31,By-law 20-47,https://adjtos.ca/wp-content/uploads/2025/08/By-law-20-47-Site-Alteration-and-Fill-By-law-Consolidated.pdf,,,COMPLETE - FARM FRIENDLY,"""Agricultural"" shall mean land, buildings or structures used by a farming business registered under the Farm registration and Farm Organization Funding Act, 1993, Chapter 21, for the purpose of beekeeping, field crops, forestry, horticulture, pasturage, raising of livestock, cannabis, or any other farming use. Within the Oak Ridges Moraine Area, agricultural, shallmean, a) Growing crops, including nursery and horticultural crops, b) Raising livestock; c) Raising other animals, including poultry and fish, for food, fur or fibre d) Aquaculture, and e) Agroforestry and maple syrupproduction",Yes,,5,Yes,,,"Except as provided in Section 4, this By-law shall not apply to the following, notwithstanding requirements of 0. Reg 406/19: a) Any work constituting tillage of land pursuant to normal agricultural practices by a bona fide farmer, b) The removal of topsoil as an incidental part of a normal agricultural practice including such removal as an incidental part of sod-farming, greenhouse operations and nurseries for horticultural products; (Municipal Act, 2001, Section 142 (6)) provided: i) The exception in 5.1 (b) respecting the removal of topsoil as an incidental part of a normal agricultural practice does not include the removal of topsoil for sale, exchange or other disposition; (Municipal Act, 2001, Section 142 (7))."
6,Admaston-Bromley,Lower Tier,Renfrew,http://www.admastonbromley.com/,38,,,,,COMPLETE,,,,6,,,,
7,Ajax,Lower Tier,Durham,http://www.ajax.ca/en/,45,38-2021,"https://www.ajax.ca/Modules/bylaws/Bylaw/Download/f6898631-32b9-4ad8-803f-a43a1c61b734#:~:text=BY,or%20dumping%20of%20fill%2C%20the",2021-06-01,,COMPLETE,"“agricultural practices” means cultivating land for agricultural purposes, including sod-farming, greenhouse operations, nurseries for horticultural products and the raising of livestock.",Yes,,7,Yes,,,"This By-law shall not apply to: (f) The removal of topsoil as an incidental part of normal agricultural practices, but not including the removal of topsoil for sale, exchange or other disposition."
8,Alberton,Single Tier,Rainy River,http://www.alberton.ca/,52,,,,,NO BY-LAW IN PLACE,,,,8,,,,
9,Alfred and Plantagenet,Lower Tier,Prescott and Russell,http://www.alfred-plantagenet.com/en,59,,,,,COMPLETE,,,,9,,,,
10,Algonquin Highlands,Lower Tier,Haliburton,http://www.algonquinhighlands.ca/,66,,,,,COMPLETE,,,,10,,,,
11,Alnwick-Haldimand,Lower Tier,Northumberland,http://www.alnwickhaldimand.ca/,73,BY-LAW NO. 55-2011,given by email#http://given by email,2011-04-20,,COMPLETE,,No,to prohibit or regulate the placing or dumping of fill or the alteration of the grade of land,11,No,No,to prohibit or regulate the placing or dumping of fill or the alteration of the grade of land,
12,Amaranth,Lower Tier,Dufferin,http://www.amaranth.ca/en/index.aspx,80,BY-LAW NUMBER 65-2009,https://www.amaranth.ca/en/municipal-government/resources/By-laws/Site-Alteration-Office-Consolidation---November-2017.pdf,2009-12-09,,COMPLETE,,No,,12,No,No,,
13,Amherstburg,Lower Tier,Essex,http://www.amherstburg.ca/,87,BY-LAW NO. 2025-033,"https://pub-amherstburg.escribemeetings.com/filestream.ashx?DocumentId=19968#:~:text=THE%20CORPORATION%20OF%20THE%20TOWN,IN%20THE%20TOWN%20OF%20AMHERSTBURG",2025-05-01,,COMPLETE,"“Agricultural” means the cultivation of land, the production of crops and the selling of such product on the premises, and the breeding and care of livestock and the selling of such livestock or the product of such livestock raised on the premises, and without limiting the generality of the foregoing includes aviaries, apiaries, fish farming, animal husbandry, and the raising and harvesting of field, bush, or tree crops, market gardening, nurseries, greenhouses and an accessory air strip. However, “Agricultural” use does not include facilities for the permanent or temporary housing of persons employed on the lot, an abattoir or any premises used for the killing of livestock or the processing of meat.",Yes,"2.9 No Person shall undertake, cause, or permit any Site Alteration and Movement of Fill on any Property unless the activity is in accordance with: a) The Zoning By-Law No. 1999-52, as amended; b) The requirements of a Conservation Authority; and c) All other laws, policies and By-laws.",13,Yes,N/A,"2.9 No Person shall undertake, cause, or permit any Site Alteration and Movement of Fill on any Property unless the activity is in accordance with: a) The Zoning By-Law No. 1999-52, as amended; b) The requirements of a Conservation Authority; and c) All other laws, policies and By-laws.","Site Alterations incidental to a Normal Farm Practice that is legally established under the Town’s Zoning By-law, including the application of Topsoil for spreading over Agricultural Property provided that the Existing Grade of the Property is not increased by more than 200 millimetres at any given point. This exception is only available to those Owners or Properties that have an active registration as a ""farming business"" as defined in the Farm Registration and Farms Organization Funding Act (""FRFOFA""), and are in good standing under the FRFOFA"
14,Armour,Single Tier,Parry Sound,http://www.armourtownship.ca/,94,BY-LAW #41-2010,https://irp-cdn.multiscreensite.com/20e551fd/files/uploaded/Bylaw-Site_Alteration.pdf,2010-10-12,,COMPLETE,Expiry date unknown.,No,,14,No,No,,
15,Armstrong,Single Tier,Timiskaming,http://www.armstrongtownship.com/,101,,,,,COMPLETE,,,,15,,,,
16,Arnprior,Lower Tier,Renfrew,http://www.arnprior.ca/,108,,,,,COMPLETE,,,,16,,,,
17,Arran-Elderslie,Lower Tier,Bruce,http://www.arran-elderslie.com/,115,,,,,COMPLETE,,,,17,,,,
18,Ashfield-Colborne-Wawanosh,Lower Tier,Huron,http://www.acwtownship.ca/,122,BY-LAW NUMBER 28-2023,https://acwtownship.ca/content/government/by-laws/building-and-property/28-2023-site-alteration-by-law.pdf,2023-03-20,,COMPLETE,,Yes,,18,Yes,No,,"2.2 This By-law does not apply to: (g) Agricultural Lands ""agricultural lands"" includes all lands designated as an agricultural zone under the provisions of the Town's zoning By-law;"
19,Asphodel-Norwood,Lower Tier,Peterborough,http://www.asphodelnorwood.com/,129,,,,,COMPLETE - FARM FRIENDLY,,,,19,,,,
20,Assiginack,Single Tier,Manitoulin,http://www.assiginack.ca/,136,,,,,COMPLETE,,,,20,,,,
21,Athens,Lower Tier,Leeds and Grenville,http://www.athenstownship.ca/,143,,,,,COMPLETE,,,,21,,,,
22,Atikokan,Single Tier,Rainy River,http://www.atikokan.ca/siteengine/activepage.asp,150,,,,,COMPLETE,,,,22,,,,
1,Augusta,Lower Tier,Leeds and Grenville,http://www.augusta.ca/,3,,,,,COMPLETE,,,,1,,,,
2,Aurora,Lower Tier,York,https://www.aurora.ca/en/index.aspx,10,By-law Number 6226-19,https://records.aurora.ca/WebLink/edoc/17807/BYLAW%20-%20Site%20Alteration%20Bylaw%20-%2020191210%20-%20622619.pdf?dbid=0&repo=Public,2019-12-10,,COMPLETE,,Yes,"to regulate the removal of topsoil, the placing or dumping of fill and the alteration of the grade of land.",2,Yes,No,"to regulate the removal of topsoil, the placing or dumping of fill and the alteration of the grade of land.","6. EXEMPTIONS c) removal of topsoil as an incidental part of agricultural use, including such removal as an incidental part of sod-farming, greenhouse operations and nurseries for horticultural products."
23,Aylmer,Lower Tier,Elgin,http://www.aylmer.ca/,157,BY-LAW NUMBER 45-23,https://aylmer.ca/wp-content/uploads/2023/07/Town-Of-Aylmer-Site-Alteration-By-Law.pdf,2023-07-12,,COMPLETE,Only draft has been uploaded.,No,"BEING A BY-LAW TO PROHIBIT AND REGULATE THE PLACING OR DUMPING OF FILL, REMOVAL OF TOPSOIL, AND THE ALTERATION OF THE GRADE OF LAND IN THE TOWN OF AYLMER",23,No,No,"BEING A BY-LAW TO PROHIBIT AND REGULATE THE PLACING OR DUMPING OF FILL, REMOVAL OF TOPSOIL, AND THE ALTERATION OF THE GRADE OF LAND IN THE TOWN OF AYLMER",
24,Baldwin,Single Tier,Sudbury,https://www.baldwin.ca/,164,,,,,NO BY-LAW IN PLACE,,,,24,,,,
25,Bancroft,Lower Tier,Hastings,http://www.bancroft.ca/,171,,,,,COMPLETE - FARM FRIENDLY,,,,25,,,,
26,Barrie,Single Tier,Simcoe,http://www.barrie.ca/Pages/default.aspx,178,By-law 2014-100,https://www.barrie.ca/media/3973,2014-08-25,,COMPLETE,"NAP acknowledged. 5. PROHIBITIONS 5.7 No Site Alteration shall occur on any lands zoned Agricultural unless the owner provides a certificate, signed by a qualified person, confirming that the site aleration will result in maintaining or imporving the overall fertility of the agricultural lands.",No,"to prohibit and regulate the placing or dumping of fill, the removal of topsoil, and the alteration of the grade of land.",26,No,No,"to prohibit and regulate the placing or dumping of fill, the removal of topsoil, and the alteration of the grade of land.",
27,Bayham,Lower Tier,Elgin,http://www.bayham.on.ca/siteengine/activepage.asp,185,,,,,COMPLETE,,,,27,,,,
28,Beckwith,Lower Tier,Lanark,http://www.twp.beckwith.on.ca/,192,,,,,COMPLETE - FARM FRIENDLY,,,,28,,,,
29,Belleville,Single Tier,Hastings,http://www.belleville.ca/,199,,,,,COMPLETE,,,,29,,,,
30,Billings,Single Tier,Manitoulin,http://www.billingstwp.ca/,206,,,,,COMPLETE,,,,30,,,,
31,Black River-Matheson,Single Tier,Cochrane,http://www.blackriver-matheson.com/,213,,,,,NO BY-LAW IN PLACE,,,,31,,,,
32,Blandford-Blenheim,Lower Tier,Oxford,http://www.blandfordblenheim.ca/,220,BY-LAW NUMBER 1915-2015,https://www.blandfordblenheim.ca/en/township/resources/By-Laws/1915-2015RegulateFillCouncilJuly82015.pdf,2015-07-08,,COMPLETE - FARM FRIENDLY,,No,"A BY-LAW TO PROHIBIT AND REGULATE THE PLACING OR DUMPING OF FILL, THE REMOVAL OF TOPSOIL AND THE ALTERATION OF THE GRADE OF LAND IN THE TOWNSHIP OF BLANDFORD-BLENHEIM",32,No,No,"A BY-LAW TO PROHIBIT AND REGULATE THE PLACING OR DUMPING OF FILL, THE REMOVAL OF TOPSOIL AND THE ALTERATION OF THE GRADE OF LAND IN THE TOWNSHIP OF BLANDFORD-BLENHEIM",
33,Blind River,Single Tier,Algoma,http://www.blindriver.com/site/welcome/,227,,,,,COMPLETE,,,,33,,,,
34,Bluewater,Lower Tier,Huron,http://www.town.bluewater.on.ca/,234,,,,,COMPLETE,,,,34,,,,
35,Bonfield,Single Tier,Nipissing,https://www.bonfieldtownship.com/,241,,,,,COMPLETE,,,,35,,,,
36,Bonnechere Valley,Lower Tier,Renfrew,http://www.bonnecherevalleytwp.com/,248,,,,,COMPLETE,,,,36,,,,
37,Bracebridge,Lower Tier,Muskoka,http://www.bracebridge.ca/,255,,,,,COMPLETE,,,,37,,,,
